id,reaction_id,flux,age_group,diet,abs_flux,reaction_name,pathway,text,is_lysine_related,is_biosyn_hint,is_butyrate_hint,pathway_class
Faecalibacterium_prausnitzii_M21_2__AGORA1_03,BTCOADH,-0.0,21_40,high_fiber,0.0,Conversion of crotonoyl-CoA to butyryl-CoA by Bcd-Etf complex,Butanoate metabolism,btcoadh | conversion of crotonoyl-coa to butyryl-coa by bcd-etf complex | butanoate metabolism,True,False,True,lysine_to_butyrate_candidate
Faecalibacterium_prausnitzii_M21_2__AGORA1_03,DAPDA,0.0,21_40,high_fiber,0.0,"N-acetyl-L,L-diaminopimelate deacetylase",Lysine metabolism,"dapda | n-acetyl-l,l-diaminopimelate deacetylase | lysine metabolism",True,True,False,lysine_biosynthesis
Faecalibacterium_prausnitzii_M21_2__AGORA1_03,DAPDC,0.0,21_40,high_fiber,0.0,diaminopimelate decarboxylase,Lysine metabolism,dapdc | diaminopimelate decarboxylase | lysine metabolism,True,True,False,lysine_biosynthesis
Faecalibacterium_prausnitzii_M21_2__AGORA1_03,DAPAT,,21_40,high_fiber,,,,dapat,True,True,False,lysine_biosynthesis
Faecalibacterium_prausnitzii_M21_2__AGORA1_03,LYSAM,,21_40,high_fiber,,,,lysam,True,False,True,lysine_to_butyrate_candidate
Faecalibacterium_prausnitzii_M21_2__AGORA1_03,PBUTT,,21_40,high_fiber,,,,pbutt,True,False,True,lysine_to_butyrate_candidate
Faecalibacterium_prausnitzii_M21_2__AGORA1_03,SDPDS,,21_40,high_fiber,,,,sdpds,True,True,False,lysine_biosynthesis
Faecalibacterium_prausnitzii_M21_2__AGORA1_03,SDPTA,,21_40,high_fiber,,,,sdpta,True,True,False,lysine_biosynthesis
Parabacteroides_merdae_ATCC_43184_AGORA1_03,PAPPT3,0.0013194995609043,21_40,high_fiber,0.0013194995609043,"phospho-N-acetylmuramoyl-pentapeptide-transferase (meso-2,6-diaminopimelate)",Cell wall biosynthesis,"pappt3 | phospho-n-acetylmuramoyl-pentapeptide-transferase (meso-2,6-diaminopimelate) | cell wall biosynthesis",True,True,False,lysine_biosynthesis
Parabacteroides_merdae_ATCC_43184_AGORA1_03,UAAGDS,0.0013194995609043,21_40,high_fiber,0.0013194995609043,"UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimelate synthetase",Cell wall biosynthesis,"uaagds | udp-n-acetylmuramoyl-l-alanyl-d-glutamyl-meso-2,6-diaminopimelate synthetase | cell wall biosynthesis",True,True,False,lysine_biosynthesis
Parabacteroides_merdae_ATCC_43184_AGORA1_03,26DAPLLAT,0.0,21_40,high_fiber,0.0,"L,L-diaminopimelate aminotransferase",Lysine metabolism,"26dapllat | l,l-diaminopimelate aminotransferase | lysine metabolism",True,True,False,lysine_biosynthesis
Parabacteroides_merdae_ATCC_43184_AGORA1_03,DAPDC,0.0,21_40,high_fiber,0.0,diaminopimelate decarboxylase,Lysine metabolism,dapdc | diaminopimelate decarboxylase | lysine metabolism,True,True,False,lysine_biosynthesis
Parabacteroides_merdae_ATCC_43184_AGORA1_03,DAPE,0.0,21_40,high_fiber,0.0,diaminopimelate epimerase,Lysine metabolism,dape | diaminopimelate epimerase | lysine metabolism,True,True,False,lysine_biosynthesis
Parabacteroides_merdae_ATCC_43184_AGORA1_03,DAPMDH,-0.0,21_40,high_fiber,0.0,Meso-diaminopimelate D-dehydrogenase,Folate metabolism,dapmdh | meso-diaminopimelate d-dehydrogenase | folate metabolism,True,True,False,lysine_biosynthesis
Parabacteroides_merdae_ATCC_43184_AGORA1_03,LYSAM,0.0,21_40,high_fiber,0.0,"Lysine 2,3-aminomutase (EC 5.4.3.2)",Lysine metabolism,"lysam | lysine 2,3-aminomutase (ec 5.4.3.2) | lysine metabolism",True,False,True,lysine_to_butyrate_candidate
Parabacteroides_merdae_ATCC_43184_AGORA1_03,SDPTA,0.0,21_40,high_fiber,0.0,succinyldiaminopimelate transaminase,Lysine metabolism,sdpta | succinyldiaminopimelate transaminase | lysine metabolism,True,True,False,lysine_biosynthesis
Parabacteroides_merdae_ATCC_43184_AGORA1_03,3ABUTCOAL,,21_40,high_fiber,,,,3abutcoal,True,False,True,lysine_to_butyrate_candidate
Parabacteroides_merdae_ATCC_43184_AGORA1_03,ACCOALYS2,,21_40,high_fiber,,,,accoalys2,True,True,False,lysine_biosynthesis
Parabacteroides_merdae_ATCC_43184_AGORA1_03,BTCOAACCOAT,,21_40,high_fiber,,,,btcoaaccoat,True,False,True,lysine_to_butyrate_candidate
Parabacteroides_merdae_ATCC_43184_AGORA1_03,BTCOADH,,21_40,high_fiber,,,,btcoadh,True,False,True,lysine_to_butyrate_candidate
Parabacteroides_merdae_ATCC_43184_AGORA1_03,DAPAT,,21_40,high_fiber,,,,dapat,True,True,False,lysine_biosynthesis
Parabacteroides_merdae_ATCC_43184_AGORA1_03,DAPDA,,21_40,high_fiber,,,,dapda,True,True,False,lysine_biosynthesis
Parabacteroides_merdae_ATCC_43184_AGORA1_03,PBUTT,,21_40,high_fiber,,,,pbutt,True,False,True,lysine_to_butyrate_candidate
Parabacteroides_merdae_ATCC_43184_AGORA1_03,SDPDS,,21_40,high_fiber,,,,sdpds,True,True,False,lysine_biosynthesis
Ruminococcus_torques_ATCC_27756_AGORA1_03,DAPDC,11.518390111631035,21_40,high_fiber,11.518390111631035,diaminopimelate decarboxylase,Lysine metabolism,dapdc | diaminopimelate decarboxylase | lysine metabolism,True,True,False,lysine_biosynthesis
