id,reaction_id,reaction_name,pathway
Bacteroides_xylanisolvens_XB1A_AGORA1_03,3OAS12M14,12-methyl-tetra-decanoyl-ACPmalonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating),Fatty acid synthesis
Bacteroides_xylanisolvens_XB1A_AGORA1_03,3OAS13M14,13-methyl-tetra-decanoyl-ACPmalonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating),Fatty acid synthesis
Bacteroides_xylanisolvens_XB1A_AGORA1_03,3OAS140,3-oxoacyl-[acyl-carrier-protein] synthase (n-C14:0),Fatty acid synthesis
Bacteroides_xylanisolvens_XB1A_AGORA1_03,3OAS160,3-oxoacyl-[acyl-carrier-protein] synthase (n-C16:0),Fatty acid synthesis
Bacteroides_xylanisolvens_XB1A_AGORA1_03,3OAS180,3-oxoacyl-[acyl-carrier-protein] synthase (n-C18:0),Fatty acid synthesis
Bacteroides_xylanisolvens_XB1A_AGORA1_03,3OAS2M3,2-methylpropionyl-ACPmalonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating),Fatty acid synthesis
Bacteroides_xylanisolvens_XB1A_AGORA1_03,3OAS3M4,3-methylbutanoyl-ACPmalonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating),Fatty acid synthesis
Bacteroides_xylanisolvens_XB1A_AGORA1_03,3OAS4M3O6,4-methyl-3-oxo-hexanoyl-ACPmalonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating),Fatty acid synthesis
Bacteroides_xylanisolvens_XB1A_AGORA1_03,3OAS4M5,4-methyl-pentanoyl-ACPmalonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating),Fatty acid synthesis
Bacteroides_xylanisolvens_XB1A_AGORA1_03,3OAS4M6,4-methyl-hexanoyl-ACPmalonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating),Fatty acid synthesis
Bacteroides_xylanisolvens_XB1A_AGORA1_03,3OAS5M6,5-methyl-hexanoyl-ACPmalonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating),Fatty acid synthesis
Bacteroides_xylanisolvens_XB1A_AGORA1_03,3OAS60,3-oxoacyl-[acyl-carrier-protein] synthase (n-C6:0),Fatty acid synthesis
Bacteroides_xylanisolvens_XB1A_AGORA1_03,3OAS6M7,6-methyl-heptanoyl-ACPmalonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating),Fatty acid synthesis
