scenario,diet,exchange_id,flux,uptake_flux,secretion_flux,abs_flux
beta_age_positive_only,western,EX_xylan(e),-3.206e-05,3.206e-05,0.0,3.206e-05
beta_age_positive_only,western,EX_arabinogal(e),-2.191e-05,2.191e-05,0.0,2.191e-05
beta_age_positive_only,western,EX_2obut(e),2.959286478108748e-15,0.0,2.959286478108748e-15,2.959286478108748e-15
beta_age_positive_only,western,EX_ocdca(e),1.2325151415548025e-16,0.0,1.2325151415548025e-16,1.2325151415548025e-16
beta_age_positive_only,western,EX_2dmmq8(e),4.4802816677127696e-18,0.0,4.4802816677127696e-18,4.4802816677127696e-18
beta_age_positive_only,western,EX_mqn8(e),4.480281667712769e-18,0.0,4.480281667712769e-18,4.480281667712769e-18
beta_age_positive_only,western,EX_pheme(e),4.480281667712769e-18,0.0,4.480281667712769e-18,4.480281667712769e-18
beta_age_positive_only,western,EX_sheme(e),4.480281667712768e-18,0.0,4.480281667712768e-18,4.480281667712768e-18
beta_age_positive_only,western,EX_12dgr180(e),0.0,0.0,0.0,0.0
beta_age_positive_only,western,EX_3mop(e),0.0,0.0,0.0,0.0
beta_age_positive_only,western,EX_4hbz(e),0.0,0.0,0.0,0.0
beta_age_positive_only,western,EX_ac(e),0.0,0.0,0.0,0.0
beta_age_positive_only,western,EX_ade(e),0.0,0.0,0.0,0.0
beta_age_positive_only,western,EX_adocbl(e),0.0,0.0,0.0,0.0
beta_age_positive_only,western,EX_ala_L(e),0.0,0.0,0.0,0.0
beta_age_positive_only,western,EX_cbl1(e),0.0,0.0,0.0,0.0
beta_age_positive_only,western,EX_chol(e),0.0,0.0,0.0,0.0
beta_age_positive_only,western,EX_cys_L(e),0.0,0.0,0.0,0.0
beta_age_positive_only,western,EX_ddca(e),0.0,0.0,0.0,0.0
beta_age_positive_only,western,EX_gthrd(e),0.0,0.0,0.0,0.0
beta_age_positive_only,western,EX_gua(e),0.0,0.0,0.0,0.0
beta_age_positive_only,western,EX_h(e),0.0,0.0,0.0,0.0
beta_age_positive_only,western,EX_h2(e),0.0,0.0,0.0,0.0
beta_age_positive_only,western,EX_h2s(e),0.0,0.0,0.0,0.0
beta_age_positive_only,western,EX_hdca(e),0.0,0.0,0.0,0.0
beta_age_positive_only,western,EX_hxan(e),0.0,0.0,0.0,0.0
beta_age_positive_only,western,EX_meoh(e),0.0,0.0,0.0,0.0
beta_age_positive_only,western,EX_mqn7(e),0.0,0.0,0.0,0.0
beta_age_positive_only,western,EX_na1(e),0.0,0.0,0.0,0.0
beta_age_positive_only,western,EX_nac(e),0.0,0.0,0.0,0.0
beta_age_positive_only,western,EX_ocdcea(e),0.0,0.0,0.0,0.0
beta_age_positive_only,western,EX_oxa(e),0.0,0.0,0.0,0.0
beta_age_positive_only,western,EX_pnto_R(e),0.0,0.0,0.0,0.0
beta_age_positive_only,western,EX_pydam(e),0.0,0.0,0.0,0.0
beta_age_positive_only,western,EX_sel(e),0.0,0.0,0.0,0.0
beta_age_positive_only,western,EX_spmd(e),0.0,0.0,0.0,0.0
beta_age_positive_only,western,EX_tyr_L(e),0.0,0.0,0.0,0.0
beta_age_positive_only,western,EX_ura(e),0.0,0.0,0.0,0.0
beta_age_positive_only,western,EX_xan(e),0.0,0.0,0.0,0.0
