scenario,diet,exchange_id,flux,uptake_flux,secretion_flux,abs_flux,flux_equal,delta_flux_vs_equal,abs_delta_flux_vs_equal,log2_fc_abs_flux_vs_equal
sg90_age_60_plus,high_fiber,EX_cu2(e),-0.0258318920516064,0.0258318920516064,0.0,0.0258318920516064,-0.0152038279860846,-0.0106280640655217,0.0106280640655217,0.764718670224491
sg90_age_60_plus,high_fiber,EX_mn2(e),-0.0258318920516064,0.0258318920516064,0.0,0.0258318920516064,-0.0152038279860846,-0.0106280640655217,0.0106280640655217,0.764718670224491
sg90_age_60_plus,high_fiber,EX_zn2(e),-0.0258318920516064,0.0258318920516064,0.0,0.0258318920516064,-0.0152038279860846,-0.0106280640655217,0.0106280640655217,0.764718670224491
sg90_age_60_plus,high_fiber,EX_spmd(e),-0.0058194001537423,0.0058194001537423,0.0,0.0058194001537423,-0.0152038279860845,0.0093844278323422,0.0093844278323422,-1.38549209769431
sg90_age_60_plus,high_fiber,EX_thm(e),-0.0058194001537423,0.0058194001537423,0.0,0.0058194001537423,-0.0152038279860845,0.0093844278323422,0.0093844278323422,-1.38549209769431
sg90_age_60_plus,high_fiber,EX_na1(e),0.0,0.0,0.0,0.0,-2.0577060653292696e-14,2.0577060653292696e-14,2.0577060653292696e-14,-2.9686117935024075e-05
sg90_age_60_plus,high_fiber,EX_mqn7(e),0.0,0.0,0.0,0.0,-1.84307615766178e-17,1.84307615766178e-17,1.84307615766178e-17,-2.6589968100971494e-08
sg90_age_60_plus,high_fiber,EX_pydam(e),0.0,0.0,0.0,0.0,9.337054430645496e-32,-9.337054430645496e-32,9.337054430645496e-32,0.0
sg90_age_60_plus,high_fiber,EX_h2o(e),-10.0,10.0,0.0,10.0,-10.0,0.0,0.0,0.0
sg90_age_60_plus,high_fiber,EX_12dgr180(e),-1.0,1.0,0.0,1.0,-1.0,0.0,0.0,0.0
sg90_age_60_plus,high_fiber,EX_26dap_M(e),-1.0,1.0,0.0,1.0,-1.0,0.0,0.0,0.0
sg90_age_60_plus,high_fiber,EX_2obut(e),-1.0,1.0,0.0,1.0,-1.0,0.0,0.0,0.0
sg90_age_60_plus,high_fiber,EX_ac(e),-1.0,1.0,0.0,1.0,-1.0,0.0,0.0,0.0
sg90_age_60_plus,high_fiber,EX_acgam(e),-1.0,1.0,0.0,1.0,-1.0,0.0,0.0,0.0
sg90_age_60_plus,high_fiber,EX_acmana(e),-1.0,1.0,0.0,1.0,-1.0,0.0,0.0,0.0
