scenario,diet,exchange_id,flux,uptake_flux,secretion_flux,abs_flux,flux_equal,delta_flux_vs_equal,abs_delta_flux_vs_equal,log2_fc_abs_flux_vs_equal
allcohort_agebin_41_60,high_fiber,EX_mg2(e),-0.0131360548446103,0.0131360548446103,0.0,0.0131360548446103,-0.0152038279860846,0.002067773141474301,0.002067773141474301,-0.21090253735812428
allcohort_agebin_41_60,high_fiber,EX_mn2(e),-0.0131360548446103,0.0131360548446103,0.0,0.0131360548446103,-0.0152038279860846,0.002067773141474301,0.002067773141474301,-0.21090253735812428
allcohort_agebin_41_60,high_fiber,EX_zn2(e),-0.0131360548446103,0.0131360548446103,0.0,0.0131360548446103,-0.0152038279860846,0.002067773141474301,0.002067773141474301,-0.21090253735812428
allcohort_agebin_41_60,high_fiber,EX_fe2(e),-0.0131360548446103,0.0131360548446103,0.0,0.0131360548446103,-0.0152038279860845,0.0020677731414742006,0.0020677731414742006,-0.21090253735811482
allcohort_agebin_41_60,high_fiber,EX_cobalt2(e),-0.0131360548446103,0.0131360548446103,0.0,0.0131360548446103,-0.0152038279860845,0.0020677731414742006,0.0020677731414742006,-0.21090253735811482
allcohort_agebin_41_60,high_fiber,EX_so4(e),-0.0131360548446103,0.0131360548446103,0.0,0.0131360548446103,-0.0152038279860845,0.0020677731414742006,0.0020677731414742006,-0.21090253735811482
allcohort_agebin_41_60,high_fiber,EX_na1(e),0.0,0.0,0.0,0.0,-2.0577060653292696e-14,2.0577060653292696e-14,2.0577060653292696e-14,-2.9686117935024075e-05
allcohort_agebin_41_60,high_fiber,EX_mqn7(e),0.0,0.0,0.0,0.0,-1.84307615766178e-17,1.84307615766178e-17,1.84307615766178e-17,-2.658996810097149e-08
allcohort_agebin_41_60,high_fiber,EX_pydam(e),0.0,0.0,0.0,0.0,9.337054430645496e-32,-9.337054430645496e-32,9.337054430645496e-32,0.0
allcohort_agebin_41_60,high_fiber,EX_h2o(e),-10.0,10.0,0.0,10.0,-10.0,0.0,0.0,0.0
allcohort_agebin_41_60,high_fiber,EX_12dgr180(e),-1.0,1.0,0.0,1.0,-1.0,0.0,0.0,0.0
allcohort_agebin_41_60,high_fiber,EX_26dap_M(e),-1.0,1.0,0.0,1.0,-1.0,0.0,0.0,0.0
allcohort_agebin_41_60,high_fiber,EX_2obut(e),-1.0,1.0,0.0,1.0,-1.0,0.0,0.0,0.0
allcohort_agebin_41_60,high_fiber,EX_ac(e),-1.0,1.0,0.0,1.0,-1.0,0.0,0.0,0.0
allcohort_agebin_41_60,high_fiber,EX_acgam(e),-1.0,1.0,0.0,1.0,-1.0,0.0,0.0,0.0
allcohort_agebin_41_60,high_fiber,EX_acmana(e),-1.0,1.0,0.0,1.0,-1.0,0.0,0.0,0.0
allcohort_agebin_41_60,high_fiber,EX_acnam(e),-1.0,1.0,0.0,1.0,-1.0,0.0,0.0,0.0
allcohort_agebin_41_60,high_fiber,EX_adn(e),-1.0,1.0,0.0,1.0,-1.0,0.0,0.0,0.0
allcohort_agebin_41_60,high_fiber,EX_ala_D(e),-1.0,1.0,0.0,1.0,-1.0,0.0,0.0,0.0
allcohort_agebin_41_60,high_fiber,EX_ala_L(e),-1.0,1.0,0.0,1.0,-1.0,0.0,0.0,0.0
allcohort_agebin_41_60,high_fiber,EX_cgly(e),-1.0,1.0,0.0,1.0,-1.0,0.0,0.0,0.0
allcohort_agebin_41_60,high_fiber,EX_chol(e),-1.0,1.0,0.0,1.0,-1.0,0.0,0.0,0.0
allcohort_agebin_41_60,high_fiber,EX_chor(e),-1.0,1.0,0.0,1.0,-1.0,0.0,0.0,0.0
allcohort_agebin_41_60,high_fiber,EX_cit(e),-1.0,1.0,0.0,1.0,-1.0,0.0,0.0,0.0
allcohort_agebin_41_60,high_fiber,EX_cys_L(e),-1.0,1.0,0.0,1.0,-1.0,0.0,0.0,0.0
allcohort_agebin_41_60,high_fiber,EX_dad_2(e),-1.0,1.0,0.0,1.0,-1.0,0.0,0.0,0.0
