diet,exchange_id,uptake_bound,flux,uptake_flux,secretion_flux,abs_flux,metabolite_id,metabolite_formula,carbon_count,carbon_uptake_flux,at_uptake_bound
high_fiber,EX_cl(e),1.0,-0.015203827986084505,0.015203827986084505,0.0,0.015203827986084505,u__cl_e_,Cl,0,0.0,False
high_fiber,EX_mg2(e),1.0,-0.015203827986084505,0.015203827986084505,0.0,0.015203827986084505,u__mg2_e_,Mg,0,0.0,False
high_fiber,EX_ca2(e),1.0,-0.015203827986084504,0.015203827986084504,0.0,0.015203827986084504,u__ca2_e_,Ca,0,0.0,False
high_fiber,EX_cu2(e),1.0,-0.015203827986084504,0.015203827986084504,0.0,0.015203827986084504,u__cu2_e_,Cu,0,0.0,False
high_fiber,EX_mn2(e),1.0,-0.015203827986084504,0.015203827986084504,0.0,0.015203827986084504,u__mn2_e_,Mn,0,0.0,False
high_fiber,EX_zn2(e),1.0,-0.015203827986084504,0.015203827986084504,0.0,0.015203827986084504,u__zn2_e_,Zn,0,0.0,False
high_fiber,EX_fe2(e),1.0,-0.015203827986084502,0.015203827986084502,0.0,0.015203827986084502,u__fe2_e_,Fe,0,0.0,False
high_fiber,EX_k(e),1.0,-0.015203827986084502,0.015203827986084502,0.0,0.015203827986084502,u__k_e_,K,0,0.0,False
high_fiber,EX_fe3(e),1.0,-0.0152038279860845,0.0152038279860845,0.0,0.0152038279860845,u__fe3_e_,Fe,0,0.0,False
high_fiber,EX_so4(e),1.0,-0.0152038279860845,0.0152038279860845,0.0,0.0152038279860845,u__so4_e_,O4S,0,0.0,False
high_fiber,EX_spmd(e),1.0,-0.015203827986084497,0.015203827986084497,0.0,0.015203827986084497,u__spmd_e_,C7H22N3,7,0.10642679590259148,False
high_fiber,EX_thm(e),1.0,-0.015203827986084495,0.015203827986084495,0.0,0.015203827986084495,u__thm_e_,C12H17N4OS,12,0.18244593583301394,False
high_fiber,EX_cobalt2(e),1.0,-0.015203827986084457,0.015203827986084457,0.0,0.015203827986084457,u__cobalt2_e_,Co,0,0.0,False
high_fiber,EX_q8(e),1.0,-0.011439404527860337,0.011439404527860337,0.0,0.011439404527860337,u__q8_e_,C49H74O4,49,0.5605308218651566,False
high_fiber,EX_pheme(e),1.0,-0.011439404527860332,0.011439404527860332,0.0,0.011439404527860332,u__pheme_e_,C34H30FeN4O4,34,0.3889397539472513,False
high_fiber,EX_sheme(e),1.0,-0.011439404527860332,0.011439404527860332,0.0,0.011439404527860332,u__sheme_e_,C42H36FeN4O16,42,0.48045499017013393,False
high_fiber,EX_inulin(e),0.01041667,-0.01041667,0.01041667,0.0,0.01041667,u__inulin_e_,C180H302O151,180,1.8750006,True
high_fiber,EX_lmn30(e),0.01041667,-0.01041667,0.01041667,0.0,0.01041667,u__lmn30_e_,C180H302O151,180,1.8750006,True
high_fiber,EX_h2s(e),1.0,-0.0037644234582241646,0.0037644234582241646,0.0,0.0037644234582241646,u__h2s_e_,H2S,0,0.0,False
high_fiber,EX_pect(e),0.00073964,-0.00073964,0.00073964,0.0,0.00073964,u__pect_e_,C2535H3509O2535,2535,1.8749874,True
high_fiber,EX_xylan(e),0.00071023,-0.00071023,0.00071023,0.0,0.00071023,u__xylan_e_,C2640H4226O2113,2640,1.8750072,True
high_fiber,EX_arabinogal(e),0.0004855,-0.0004855,0.0004855,0.0,0.0004855,u__arabinogal_e_,C3862H6376O3218,3862,1.875001,True
high_fiber,EX_xan(e),1.0,-2.781663576713768e-17,2.781663576713768e-17,0.0,2.781663576713768e-17,u__xan_e_,C5H4N4O2,5,1.3908317883568842e-16,False
high_fiber,EX_4hbz(e),1.0,1.0121079685157288e-18,0.0,1.0121079685157288e-18,1.0121079685157288e-18,u__4hbz_e_,C7H5O3,7,0.0,False
high_fiber,EX_ade(e),1.0,0.0,0.0,0.0,0.0,u__ade_e_,C5H5N5,5,0.0,False
high_fiber,EX_adocbl(e),1.0,0.0,0.0,0.0,0.0,u__adocbl_e_,C72H100CoN18O17P,72,0.0,False
high_fiber,EX_cbl1(e),1.0,0.0,0.0,0.0,0.0,u__cbl1_e_,C62H88CoN13O14P,62,0.0,False
high_fiber,EX_for(e),1.0,0.0,0.0,0.0,0.0,u__for_e_,CH1O2,1,0.0,False
high_fiber,EX_gthrd(e),1.0,0.0,0.0,0.0,0.0,u__gthrd_e_,C10H16N3O6S,10,0.0,False
high_fiber,EX_h2(e),1.0,0.0,0.0,0.0,0.0,u__h2_e_,H2,0,0.0,False
high_fiber,EX_hdca(e),0.19818545,0.0,0.0,0.0,0.0,u__hdca_e_,C16H31O2,16,0.0,False
high_fiber,EX_meoh(e),10.0,0.0,0.0,0.0,0.0,u__meoh_e_,CH4O1,1,0.0,False
high_fiber,EX_mqn7(e),1.0,2.024215937031457e-18,0.0,2.024215937031457e-18,2.024215937031457e-18,u__mqn7_e_,C46H64O2,46,0.0,False
high_fiber,EX_mqn8(e),1.0,0.0,0.0,0.0,0.0,u__mqn8_e_,C51H72O2,51,0.0,False
high_fiber,EX_na1(e),1.0,0.0,0.0,0.0,0.0,u__na1_e_,Na,0,0.0,False
high_fiber,EX_nac(e),1.0,0.0,0.0,0.0,0.0,u__nac_e_,C6H4NO2,6,0.0,False
high_fiber,EX_ocdcea(e),0.34072233,0.0,0.0,0.0,0.0,u__ocdcea_e_,C18H33O2,18,0.0,False
high_fiber,EX_oxa(e),0.11842105,0.0,0.0,0.0,0.0,u__oxa_e_,C2O4,2,0.0,False
high_fiber,EX_pnto_R(e),1.0,0.0,0.0,0.0,0.0,u__pnto_R_e_,C9H16NO5,9,0.0,False
high_fiber,EX_pydam(e),1.0,7.458682316137438e-34,0.0,7.458682316137438e-34,7.458682316137438e-34,u__pydam_e_,C8H13N2O2,8,0.0,False
high_fiber,EX_pydxn(e),1.0,0.0,0.0,0.0,0.0,u__pydxn_e_,C8H11NO3,8,0.0,False
high_fiber,EX_ura(e),1.0,0.0,0.0,0.0,0.0,u__ura_e_,C4H4N2O2,4,0.0,False
western,EX_h2o(e),10.0,-10.0,10.0,0.0,10.0,u__h2o_e_,H2O,0,0.0,True
western,EX_glyc(e),1.79965486,-1.79965486,1.79965486,0.0,1.79965486,u__glyc_e_,C3H8O3,3,5.3989645799999995,True
western,EX_12dgr180(e),1.0,-1.0,1.0,0.0,1.0,u__12dgr180_e_,C39H76O5,39,39.0,True
western,EX_26dap_M(e),1.0,-1.0,1.0,0.0,1.0,u__26dap_M_e_,C7H14N2O4,7,7.0,True
western,EX_2obut(e),1.0,-1.0,1.0,0.0,1.0,u__2obut_e_,C4H5O3,4,4.0,True
western,EX_ac(e),1.0,-1.0,1.0,0.0,1.0,u__ac_e_,C2H3O2,2,2.0,True
western,EX_acgam(e),1.0,-1.0,1.0,0.0,1.0,u__acgam_e_,C8H15NO6,8,8.0,True
western,EX_acmana(e),1.0,-1.0,1.0,0.0,1.0,u__acmana_e_,C8H15NO6,8,8.0,True
western,EX_acnam(e),1.0,-1.0,1.0,0.0,1.0,u__acnam_e_,C11H18NO9,11,11.0,True
western,EX_adn(e),1.0,-1.0,1.0,0.0,1.0,u__adn_e_,C10H13N5O4,10,10.0,True
western,EX_ala_D(e),1.0,-1.0,1.0,0.0,1.0,u__ala_D_e_,C3H7NO2,3,3.0,True
western,EX_ala_L(e),1.0,-1.0,1.0,0.0,1.0,u__ala_L_e_,C3H7NO2,3,3.0,True
western,EX_cgly(e),1.0,-1.0,1.0,0.0,1.0,u__cgly_e_,C5H10N2O3S,5,5.0,True
western,EX_chol(e),1.0,-1.0,1.0,0.0,1.0,u__chol_e_,C5H14NO,5,5.0,True
western,EX_chor(e),1.0,-1.0,1.0,0.0,1.0,u__chor_e_,C10H8O6,10,10.0,True
western,EX_cit(e),1.0,-1.0,1.0,0.0,1.0,u__cit_e_,C6H5O7,6,6.0,True
western,EX_csn(e),1.0,-1.0,1.0,0.0,1.0,u__csn_e_,C4H5N3O,4,4.0,True
western,EX_cys_L(e),1.0,-1.0,1.0,0.0,1.0,u__cys_L_e_,C3H7NO2S,3,3.0,True
western,EX_dad_2(e),1.0,-1.0,1.0,0.0,1.0,u__dad_2_e_,C10H13N5O3,10,10.0,True
western,EX_dcyt(e),1.0,-1.0,1.0,0.0,1.0,u__dcyt_e_,C9H13N3O4,9,9.0,True
western,EX_dgsn(e),1.0,-1.0,1.0,0.0,1.0,u__dgsn_e_,C10H13N5O4,10,10.0,True
western,EX_fum(e),1.0,-1.0,1.0,0.0,1.0,u__fum_e_,C4H2O4,4,4.0,True
western,EX_gam(e),1.0,-1.0,1.0,0.0,1.0,u__gam_e_,C6H14NO5,6,6.0,True
western,EX_glyc3p(e),1.0,-1.0,1.0,0.0,1.0,u__glyc3p_e_,C3H7O6P,3,3.0,True
western,EX_gthox(e),1.0,-1.0,1.0,0.0,1.0,u__gthox_e_,C20H30N6O12S2,20,20.0,True
western,EX_gua(e),1.0,-1.0,1.0,0.0,1.0,u__gua_e_,C5H5N5O,5,5.0,True
western,EX_h(e),1.0,-1.0,1.0,0.0,1.0,u__h_e_,H,0,0.0,True
western,EX_h2(e),1.0,-1.0,1.0,0.0,1.0,u__h2_e_,H2,0,0.0,True
western,EX_metsox_S_L(e),1.0,-1.0,1.0,0.0,1.0,u__metsox_S_L_e_,C5H11NO3S,5,5.0,True
western,EX_ncam(e),1.0,-1.0,1.0,0.0,1.0,u__ncam_e_,C6H6N2O,6,6.0,True
western,EX_nmn(e),1.0,-1.0,1.0,0.0,1.0,u__nmn_e_,C11H14N2O8P,11,11.0,True
western,EX_no3(e),1.0,-1.0,1.0,0.0,1.0,u__no3_e_,NO3,0,0.0,True
western,EX_orn(e),1.0,-1.0,1.0,0.0,1.0,u__orn_e_,C5H13N2O2,5,5.0,True
western,EX_pi(e),1.0,-1.0,1.0,0.0,1.0,u__pi_e_,HO4P,0,0.0,True
western,EX_ptrc(e),1.0,-1.0,1.0,0.0,1.0,u__ptrc_e_,C4H14N2,4,4.0,True
western,EX_pydx(e),1.0,-1.0,1.0,0.0,1.0,u__pydx_e_,C8H9NO3,8,8.0,True
western,EX_ribflv(e),1.0,-1.0,1.0,0.0,1.0,u__ribflv_e_,C17H20N4O6,17,17.0,True
western,EX_sel(e),1.0,-1.0,1.0,0.0,1.0,u__sel_e_,O4Se,0,0.0,True
western,EX_ser_L(e),1.0,-1.0,1.0,0.0,1.0,u__ser_L_e_,C3H7NO3,3,3.0,True
western,EX_tyr_L(e),1.0,-1.0,1.0,0.0,1.0,u__tyr_L_e_,C9H11NO3,9,9.0,True
western,EX_ura(e),1.0,-1.0,1.0,0.0,1.0,u__ura_e_,C4H4N2O2,4,4.0,True
western,EX_uri(e),1.0,-1.0,1.0,0.0,1.0,u__uri_e_,C9H12N2O6,9,9.0,True
western,EX_xan(e),1.0,-1.0,1.0,0.0,1.0,u__xan_e_,C5H4N4O2,5,5.0,True
western,EX_amp(e),1.0,-0.7479097573763711,0.7479097573763711,0.0,0.7479097573763711,u__amp_e_,C10H12N5O7P,10,7.4790975737637115,False
western,EX_phe_L(e),1.0,-0.6769302110694001,0.6769302110694001,0.0,0.6769302110694001,u__phe_L_e_,C9H11NO2,9,6.092371899624601,False
western,EX_2dmmq8(e),1.0,-0.6395281510641349,0.6395281510641349,0.0,0.6395281510641349,u__2dmmq8_e_,C50H70O2,50,31.97640755320674,False
western,EX_ddca(e),1.0,-0.48571337565720957,0.48571337565720957,0.0,0.48571337565720957,u__ddca_e_,C12H23O2,12,5.828560507886515,False
western,EX_gly(e),0.45,-0.45,0.45,0.0,0.45,u__gly_e_,C2H5NO2,2,0.9,True
western,EX_strch1(e),0.25733909,-0.25733909,0.25733909,0.0,0.25733909,u__strch1_e_,C66H112O56,66,16.98437994,True
western,EX_asn_L(e),0.225,-0.225,0.225,0.0,0.225,u__asn_L_e_,C4H8N2O3,4,0.9,True
western,EX_asp_L(e),0.225,-0.225,0.225,0.0,0.225,u__asp_L_e_,C4H6NO4,4,0.9,True
western,EX_thr_L(e),0.225,-0.225,0.225,0.0,0.225,u__thr_L_e_,C4H9NO3,4,0.9,True
western,EX_gln_L(e),0.18,-0.18,0.18,0.0,0.18,u__gln_L_e_,C5H10N2O3,5,0.8999999999999999,True
western,EX_glu_L(e),0.18,-0.18,0.18,0.0,0.18,u__glu_L_e_,C5H8NO4,5,0.8999999999999999,True
western,EX_met_L(e),0.18,-0.18,0.18,0.0,0.18,u__met_L_e_,C5H11NO2S,5,0.8999999999999999,True
western,EX_pro_L(e),0.18,-0.18,0.18,0.0,0.18,u__pro_L_e_,C5H9NO2,5,0.8999999999999999,True
western,EX_val_L(e),0.18,-0.18,0.18,0.0,0.18,u__val_L_e_,C5H11NO2,5,0.8999999999999999,True
western,EX_arab_L(e),0.17878295,-0.17878295,0.17878295,0.0,0.17878295,u__arab_L_e_,C5H10O5,5,0.89391475,True
western,EX_drib(e),0.17878295,-0.17878295,0.17878295,0.0,0.17878295,u__drib_e_,C5H10O4,5,0.89391475,True
western,EX_rib_D(e),0.17878295,-0.17878295,0.17878295,0.0,0.17878295,u__rib_D_e_,C5H10O5,5,0.89391475,True
western,EX_xyl_D(e),0.17878295,-0.17878295,0.17878295,0.0,0.17878295,u__xyl_D_e_,C5H10O5,5,0.89391475,True
western,EX_ocdca(e),0.1692826,-0.1692826,0.1692826,0.0,0.1692826,u__ocdca_e_,C18H35O2,18,3.0470868,True
western,EX_arg_L(e),0.15,-0.15,0.15,0.0,0.15,u__arg_L_e_,C6H15N4O2,6,0.8999999999999999,True
western,EX_his_L(e),0.15,-0.15,0.15,0.0,0.15,u__his_L_e_,C6H9N3O2,6,0.8999999999999999,True
western,EX_ile_L(e),0.15,-0.15,0.15,0.0,0.15,u__ile_L_e_,C6H13NO2,6,0.8999999999999999,True
western,EX_leu_L(e),0.15,-0.15,0.15,0.0,0.15,u__leu_L_e_,C6H13NO2,6,0.8999999999999999,True
western,EX_lys_L(e),0.15,-0.15,0.15,0.0,0.15,u__lys_L_e_,C6H15N2O2,6,0.8999999999999999,True
western,EX_fru(e),0.14898579,-0.14898579,0.14898579,0.0,0.14898579,u__fru_e_,C6H12O6,6,0.89391474,True
western,EX_fuc_L(e),0.14898579,-0.14898579,0.14898579,0.0,0.14898579,u__fuc_L_e_,C6H12O5,6,0.89391474,True
western,EX_gal(e),0.14898579,-0.14898579,0.14898579,0.0,0.14898579,u__gal_e_,C6H12O6,6,0.89391474,True
western,EX_glcn(e),0.14898579,-0.14898579,0.14898579,0.0,0.14898579,u__glcn_e_,C6H11O7,6,0.89391474,True
western,EX_man(e),0.14898579,-0.14898579,0.14898579,0.0,0.14898579,u__man_e_,C6H12O6,6,0.89391474,True
western,EX_mnl(e),0.14898579,-0.14898579,0.14898579,0.0,0.14898579,u__mnl_e_,C6H14O6,6,0.89391474,True
western,EX_rmn(e),0.14898579,-0.14898579,0.14898579,0.0,0.14898579,u__rmn_e_,C6H12O5,6,0.89391474,True
western,EX_indole(e),1.0,-0.12537312983123108,0.12537312983123108,0.0,0.12537312983123108,u__indole_e_,C8H7N,8,1.0029850386498487,False
western,EX_btn(e),1.0,-0.1,0.1,0.0,0.1,u__btn_e_,C10H15N2O3S,10,1.0,False
western,EX_trp_L(e),0.08181818,-0.08181818,0.08181818,0.0,0.08181818,u__trp_L_e_,C11H12N2O2,11,0.89999998,True
western,EX_cellb(e),0.07449289,-0.07449289,0.07449289,0.0,0.07449289,u__cellb_e_,C12H22O11,12,0.8939146800000001,True
western,EX_lcts(e),0.07449289,-0.07449289,0.07449289,0.0,0.07449289,u__lcts_e_,C12H22O11,12,0.8939146800000001,True
western,EX_malt(e),0.07449289,-0.07449289,0.07449289,0.0,0.07449289,u__malt_e_,C12H22O11,12,0.8939146800000001,True
western,EX_melib(e),0.07449289,-0.07449289,0.07449289,0.0,0.07449289,u__melib_e_,C12H22O11,12,0.8939146800000001,True
