step,age_group,diet,species,pathway,reaction_id,reaction_name,flux,equation_in_flux_direction,incoming_from,shared_metabolites_from_previous
11,61_70,western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Nucleotide interconversion,ADK8,adenylate kinase (dCTP),999.979606825358,amp[c] + dctp[c] -> adp[c] + dcdp[c],,
12,61_70,western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Nucleotide interconversion,NDPK5,Nucleoside-Diphosphate Kinase (ATP:dGDP),-999.979606825358,adp[c] + dgtp[c] -> atp[c] + dgdp[c],,
13,61_70,western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Nucleotide interconversion,NDPK4,Nucleoside-Diphosphate Kinase (ATP:dTDP),-999.9734109983012,adp[c] + dttp[c] -> atp[c] + dtdp[c],,
14,61_70,western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Nucleotide interconversion,GK2,guanylate kinase (GMPdATP),-999.9320550977473,dadp[c] + gdp[c] -> datp[c] + gmp[c],,
15,61_70,western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Nucleotide interconversion,ADK3,Adentylate Kinase (GTP),999.847987305734,amp[c] + gtp[c] -> adp[c] + gdp[c],,
16,61_70,western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Nucleotide interconversion,NDPK3,Nucleoside-Diphosphate Kinase (ATP:CDP),-998.8030075658272,adp[c] + ctp[c] -> atp[c] + cdp[c],,
17,61_70,western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Nucleotide interconversion,DURIPP,Deoxyuridine Phosphorylase,2.4377130256605346,duri[c] + pi[c] -> 2dr1p[c] + ura[c],,
18,61_70,western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Nucleotide interconversion,NDPK2,Nucleoside-Diphosphate Kinase (ATP:UDP),1.4890751963376176,atp[c] + udp[c] -> adp[c] + utp[c],,
19,61_70,western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Nucleotide interconversion,CYTK1,Cytidylate Kinase (CMP),1.1969924341727232,atp[c] + cmp[c] -> adp[c] + cdp[c],,
20,61_70,western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Nucleotide interconversion,NTD7,5-Nucleotidase (AMP),1.126433400835789,amp[c] + h2o[c] -> adn[c] + pi[c],,
21,61_70,western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Nucleotide interconversion,ADD,adenine deaminase,1.1157176040982797,ade[c] + h2o[c] + h[c] -> hxan[c] + nh4[c],,
22,61_70,western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Nucleotide interconversion,PUNP1,Purine-Nucleoside Phosphorylase (Adenosine),1.1157176040982797,adn[c] + pi[c] -> ade[c] + r1p[c],,
23,61_70,western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Nucleotide interconversion,UTPATPT,Uridine triphosphate:AMP phosphotransferase,0.9988938645150628,amp[c] + utp[c] -> adp[c] + udp[c],,
24,61_70,western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Nucleotide interconversion,UMPK,UMP Kinase,0.1562303428930817,atp[c] + ump[c] -> adp[c] + udp[c],,
25,61_70,western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Nucleotide interconversion,IMPD,IMP Dehydrogenase,0.077622280157243,h2o[c] + imp[c] + nad[c] -> h[c] + nadh[c] + xmp[c],,
26,61_70,western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Nucleotide interconversion,PUNP7,Purine-Nucleoside Phosphorylase (Xanthosine),-0.077622280157243,r1p[c] + xan[c] -> pi[c] + xtsn[c],,
27,61_70,western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Nucleotide interconversion,r1384,Guanosine Aminohydrolase,-0.077622280157243,nh4[c] + xtsn[c] -> gsn[c] + h2o[c] + h[c],,
28,61_70,western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Nucleotide interconversion,NDPK8,Nucleoside-Diphosphate Kinase (ATP:dADP),0.0679449022528615,atp[c] + dadp[c] -> adp[c] + datp[c],,
29,61_70,western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Nucleotide interconversion,ADAD,deoxycytidine kinase,0.0362663796030346,atp[c] + dcyt[c] -> adp[c] + dcmp[c] + h[c],,
30,61_70,western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Nucleotide interconversion,CTPS1,CTP Synthase (NH3),0.0352581928752358,atp[c] + nh4[c] + utp[c] -> adp[c] + ctp[c] + 2 h[c] + pi[c],,
31,61_70,western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Nucleotide interconversion,CYTK2,Cytidylate Kinase (dCMP),0.0203931746418675,atp[c] + dcmp[c] -> adp[c] + dcdp[c],,
32,61_70,western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Nucleotide interconversion,DGK1,Deoxyguanylate Kinase (dGMP:ATP),0.0203931746418675,atp[c] + dgmp[c] -> adp[c] + dgdp[c],,
33,61_70,western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Nucleotide interconversion,r0456,ATP:Deoxyguanosine 5-Phosphotransferase,0.0203931746418675,atp[c] + dgsn[c] -> adp[c] + dgmp[c] + h[c],,
34,61_70,western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Nucleotide interconversion,DTMPK,DTMP Kinase,0.0158732049611671,atp[c] + dtmp[c] -> adp[c] + dtdp[c],,
35,61_70,western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Nucleotide interconversion,RNTR1,ribonucleoside-triphosphate reductase (ATP),0.0158732049611671,atp[c] + trdrd[c] -> datp[c] + h2o[c] + trdox[c],,
36,61_70,western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Nucleotide interconversion,TMDSf2,"thymidylate synthase  (Flavin-dependent, NAD)",0.0158732049611671,dump[c] + fadh2[c] + mlthf[c] -> dtmp[c] + fad[c] + thf[c],,
37,61_70,western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Nucleotide interconversion,ADK2,adenylate kinase (Inorganic triphosphate),0.0107157967375093,amp[c] + pppi[c] -> adp[c] + ppi[c],,
38,61_70,western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Nucleotide interconversion,BPNT,"3, 5-Bisphosphate Nucleotidase",0.0107157967375093,h2o[c] + pap[c] -> amp[c] + pi[c],,
