age_group,diet,consumer_species,producer_species,shared_metabolite_id,shared_metabolite_name,consumer_uptake_flux,producer_secretion_flux,candidate_score,medium_available_flag,linked_pathway,anchor_rank,likely_origin
81_plus,western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Alistipes_onderdonkii_DSM_19147_AGORA1_03,gthox(e),Oxidized glutathione,2.3588501150876655,0.0011433994435492,0.0011433994435492,True,Nucleotide interconversion,5,mixed_medium_plus_crossfeeding
81_plus,western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Alistipes_shahii_WAL_8301_AGORA1_03,gthox(e),Oxidized glutathione,2.3588501150876655,0.0004312612264101,0.0004312612264101,True,Nucleotide interconversion,5,mixed_medium_plus_crossfeeding
81_plus,western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Alistipes_shahii_WAL_8301_AGORA1_03,asp_L(e),L-aspartate(1-),91.61245220590612,100.0,91.61245220590612,True,Nucleotide interconversion,6,mixed_medium_plus_crossfeeding
81_plus,western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Escherichia_coli_UTI89_UPEC_AGORA1_03,asp_L(e),L-aspartate(1-),91.61245220590612,100.0,91.61245220590612,True,Nucleotide interconversion,6,mixed_medium_plus_crossfeeding
81_plus,western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Escherichia_coli_UTI89_UPEC_AGORA1_03,etoh(e),ethanol,64.23729105173182,100.0,64.23729105173182,False,Nucleotide interconversion,7,crossfed_only
81_plus,western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Bacteroides_dorei_DSM_17855_AGORA1_03,etoh(e),ethanol,64.23729105173182,57.33557013734357,57.33557013734357,False,Nucleotide interconversion,7,crossfed_only
81_plus,western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Klebsiella_pneumoniae_pneumoniae_MGH78578_AGORA1_03,fum(e),Fumarate,59.69056584050854,100.0,59.69056584050854,True,Nucleotide interconversion,8,mixed_medium_plus_crossfeeding
81_plus,western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Escherichia_coli_UTI89_UPEC_AGORA1_03,fum(e),Fumarate,59.69056584050854,36.06467377201155,36.06467377201155,True,Nucleotide interconversion,8,mixed_medium_plus_crossfeeding
81_plus,western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,,but(e),butyrate,18.917966142118757,0.0,0.0,False,Nucleotide interconversion,9,internal_only
81_plus,western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Escherichia_coli_UTI89_UPEC_AGORA1_03,acald(e),acetaldehyde,9.471046362929116,100.0,9.471046362929116,False,Nucleotide interconversion,10,crossfed_only
81_plus,western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Ruminococcus_torques_ATCC_27756_AGORA1_03,acald(e),acetaldehyde,9.471046362929116,100.0,9.471046362929116,False,Nucleotide interconversion,10,crossfed_only
81_plus,western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Alistipes_onderdonkii_DSM_19147_AGORA1_03,acald(e),acetaldehyde,9.471046362929116,0.125790115100399,0.125790115100399,False,Nucleotide interconversion,10,crossfed_only
81_plus,western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Klebsiella_pneumoniae_pneumoniae_MGH78578_AGORA1_03,glc_D(e),D-glucose,7.597184050019166,22.801916199721727,7.597184050019166,False,Nucleotide interconversion,11,crossfed_only
81_plus,western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Escherichia_coli_UTI89_UPEC_AGORA1_03,glc_D(e),D-glucose,7.597184050019166,3.1269193659282593,3.1269193659282593,False,Nucleotide interconversion,11,crossfed_only
81_plus,western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Alistipes_onderdonkii_DSM_19147_AGORA1_03,glc_D(e),D-glucose,7.597184050019166,0.029523609752573,0.029523609752573,False,Nucleotide interconversion,11,crossfed_only
81_plus,western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Escherichia_coli_UTI89_UPEC_AGORA1_03,leu_L(e),L-leucine,1.8812069597632228,1.2654457687507226,1.2654457687507226,True,Nucleotide interconversion,12,mixed_medium_plus_crossfeeding
81_plus,western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Parabacteroides_merdae_ATCC_43184_AGORA1_03,leu_L(e),L-leucine,1.8812069597632228,0.5906925355311068,0.5906925355311068,True,Nucleotide interconversion,12,mixed_medium_plus_crossfeeding
81_plus,western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Bacteroides_dorei_DSM_17855_AGORA1_03,leu_L(e),L-leucine,1.8812069597632228,0.5615780734207665,0.5615780734207665,True,Nucleotide interconversion,12,mixed_medium_plus_crossfeeding
81_plus,western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Ruminococcus_torques_ATCC_27756_AGORA1_03,leu_L(e),L-leucine,1.8812069597632228,0.2594095766166559,0.2594095766166559,True,Nucleotide interconversion,12,mixed_medium_plus_crossfeeding
81_plus,western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Bacteroides_xylanisolvens_XB1A_AGORA1_03,leu_L(e),L-leucine,1.8812069597632228,0.1518580885859868,0.1518580885859868,True,Nucleotide interconversion,12,mixed_medium_plus_crossfeeding
81_plus,western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Klebsiella_pneumoniae_pneumoniae_MGH78578_AGORA1_03,leu_L(e),L-leucine,1.8812069597632228,0.1342535269716969,0.1342535269716969,True,Nucleotide interconversion,12,mixed_medium_plus_crossfeeding
81_plus,western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,,malt(e),Maltose,1.2140486841261184,0.0,0.0,True,Nucleotide interconversion,13,direct_from_medium
81_plus,western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Escherichia_coli_UTI89_UPEC_AGORA1_03,ile_L(e),L-isoleucine,0.4770815157452885,0.8150998540111173,0.4770815157452885,True,Nucleotide interconversion,14,mixed_medium_plus_crossfeeding
81_plus,western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Ruminococcus_torques_ATCC_27756_AGORA1_03,ile_L(e),L-isoleucine,0.4770815157452885,0.1670910862012404,0.1670910862012404,True,Nucleotide interconversion,14,mixed_medium_plus_crossfeeding
81_plus,western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Klebsiella_pneumoniae_pneumoniae_MGH78578_AGORA1_03,ile_L(e),L-isoleucine,0.4770815157452885,0.0864754799750438,0.0864754799750438,True,Nucleotide interconversion,14,mixed_medium_plus_crossfeeding
81_plus,western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Escherichia_coli_UTI89_UPEC_AGORA1_03,galur(e),D-Galacturonate,0.0614343641708533,0.0445188091314446,0.0445188091314446,False,Nucleotide interconversion,15,crossfed_only
81_plus,western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Klebsiella_pneumoniae_pneumoniae_MGH78578_AGORA1_03,glyc(e),Glycerol,0.0538531477376594,44.362482285443214,0.0538531477376594,True,Nucleotide interconversion,16,mixed_medium_plus_crossfeeding
81_plus,western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Bacteroides_xylanisolvens_XB1A_AGORA1_03,glyc(e),Glycerol,0.0538531477376594,12.432139608848829,0.0538531477376594,True,Nucleotide interconversion,16,mixed_medium_plus_crossfeeding
81_plus,western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,,meoh(e),methanol,0.0307171820854266,0.0,0.0,True,Nucleotide interconversion,17,direct_from_medium
