table2_taxon,profile_taxon,model_file,model_species_id,median_abundance,age_group,n_subjects,normalized_weight
Bacteroides dorei,s__Bacteroides_dorei,Models/vmh_agora_sbml/Bacteroides_dorei_DSM_17855_AGORA1.03.xml,Bacteroides_dorei_DSM_17855_AGORA1_03,0.0189494343772993,71_80,33,0.11231063992633294
Alistipes onderdonkii,s__Alistipes_onderdonkii,Models/vmh_agora_sbml/Alistipes_onderdonkii_DSM_19147_AGORA1.03.xml,Alistipes_onderdonkii_DSM_19147_AGORA1_03,0.0232999720316183,71_80,33,0.13809566644752094
Escherichia coli,s__Escherichia_coli,Models/vmh_agora_sbml/Escherichia_coli_UTI89_UPEC_AGORA1.03.xml,Escherichia_coli_UTI89_UPEC_AGORA1_03,0.0757234820821766,71_80,33,0.4488024582035857
Bilophila unclassified,s__Bilophila_wadsworthia,Models/vmh_agora_sbml/Bilophila_wadsworthia_3_1_6_AGORA1.03.xml,Bilophila_wadsworthia_3_1_6_AGORA1_03,0.0,71_80,33,0.0
Ruminococcus torques,s__Ruminococcus_torques,Models/vmh_agora_sbml/Ruminococcus_torques_ATCC_27756_AGORA1.03.xml,Ruminococcus_torques_ATCC_27756_AGORA1_03,0.0073276829896243,71_80,33,0.04343014938366205
Faecalibacterium prausnitzii,s__Faecalibacterium_prausnitzii,Models/vmh_agora_sbml/Faecalibacterium_prausnitzii_M21_2._AGORA1.03.xml,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,0.0400011319308113,71_80,33,0.23708109885902418
Bacteroides xylanisolvens,s__Bacteroides_xylanisolvens,Models/vmh_agora_sbml/Bacteroides_xylanisolvens_XB1A_AGORA1.03.xml,Bacteroides_xylanisolvens_XB1A_AGORA1_03,0.0017830566836258,81_90,169,0.03371185296260609
Alistipes shahii,s__Alistipes_shahii,Models/vmh_agora_sbml/Alistipes_shahii_WAL_8301_AGORA1.03.xml,Alistipes_shahii_WAL_8301_AGORA1_03,0.0022774355750077,81_90,169,0.04305896382404661
Klebsiella pneumoniae,s__Klebsiella_pneumoniae,Models/vmh_agora_sbml/Klebsiella_pneumoniae_pneumoniae_MGH78578_AGORA1.03.xml,Klebsiella_pneumoniae_pneumoniae_MGH78578_AGORA1_03,0.0017231064142578,81_90,169,0.03257838666029375
Parabacteroides merdae,s__Parabacteroides_merdae,Models/vmh_agora_sbml/Parabacteroides_merdae_ATCC_43184_AGORA1.03.xml,Parabacteroides_merdae_ATCC_43184_AGORA1_03,0.0068968469388354,81_90,169,0.130397138825012
Bacteroides dorei,s__Bacteroides_dorei,Models/vmh_agora_sbml/Bacteroides_dorei_DSM_17855_AGORA1.03.xml,Bacteroides_dorei_DSM_17855_AGORA1_03,0.0067625432987668,81_90,169,0.12785789001261383
Alistipes onderdonkii,s__Alistipes_onderdonkii,Models/vmh_agora_sbml/Alistipes_onderdonkii_DSM_19147_AGORA1.03.xml,Alistipes_onderdonkii_DSM_19147_AGORA1_03,0.004946204768957,81_90,169,0.09351678464587354
Escherichia coli,s__Escherichia_coli,Models/vmh_agora_sbml/Escherichia_coli_UTI89_UPEC_AGORA1.03.xml,Escherichia_coli_UTI89_UPEC_AGORA1_03,0.0129880647859491,81_90,169,0.24556242903190142
Bilophila unclassified,s__Bilophila_wadsworthia,Models/vmh_agora_sbml/Bilophila_wadsworthia_3_1_6_AGORA1.03.xml,Bilophila_wadsworthia_3_1_6_AGORA1_03,0.0,81_90,169,0.0
Ruminococcus torques,s__Ruminococcus_torques,Models/vmh_agora_sbml/Ruminococcus_torques_ATCC_27756_AGORA1.03.xml,Ruminococcus_torques_ATCC_27756_AGORA1_03,0.0030715100415526,81_90,169,0.0580723517344556
Faecalibacterium prausnitzii,s__Faecalibacterium_prausnitzii,Models/vmh_agora_sbml/Faecalibacterium_prausnitzii_M21_2._AGORA1.03.xml,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,0.0124423225168371,81_90,169,0.23524420230319704
